ID;Descripción
"2 - MASTERCARD";"2 - CANADA (VISA)";ASIA/PACIFIC0
"9 - JCB";"2 - CANADA (VISA)";JAPAN
"1 - VISA";"2 - CANADA (VISA)";CANADA
"0 - SIN ASIGNAR";"2 - CANADA (VISA)";CANADA
"9 - JCB";"3 - COMUNIDAD EUROPEA (VISA)";"ASIA/ OCEANIA (EXCLUDING JAPAN)"
"1 - VISA";"3 - COMUNIDAD EUROPEA (VISA)";EUROPA
"0 - SIN ASIGNAR";"3 - COMUNIDAD EUROPEA (VISA)";"CENTRE EUROPE, MIDDLE EAST AND AFRICA"
"9 - JCB";"5 - SUDAMERICA (VISA)";SEPA
"1 - VISA";"5 - SUDAMERICA (VISA)";"AMERICA LATINA/CARIBE"
"0 - SIN ASIGNAR";"5 - SUDAMERICA (VISA)";"CARIBBEAN,MEXICO,CENTRAL,SOUTH AME"
"2 - MASTERCARD";"6 - REGION CEMEA (VISA)";"EUROPA ESTE"
"1 - VISA";"6 - REGION CEMEA (VISA)";CEMEA
"0 - SIN ASIGNAR";"6 - REGION CEMEA (VISA)";"EUROPEAN UNION"
"2 - MASTERCARD";"E - AREA EC. EUROPEA (MASTERCARD)";"ORIENTE MEDIO/AFRICA"
"1 - VISA";"E - AREA EC. EUROPEA (MASTERCARD)";EUROPA
"2 - MASTERCARD";"M - RESTO DEL MUNDO (MASTERCARD)";"RESTO DEL MUNDO MASTERCARD"
"2 - MASTERCARD";"A - Test Region";CANADA
"1 - VISA";"A - Test Region";ASIA/PACIFICO
"0 - SIN ASIGNAR";"0 - SIN REGION";"EUROPAY INTERNACIONAL"
"9 - JCB";"0 - SIN REGION";"NORTH & SOUTH AMERICA"
"2 - MASTERCARD";"0 - SIN REGION";CANADA
"1 - VISA";"0 - SIN REGION";"EUROPAY INTERNACIONAL"
"1 - VISA";"4 - REGION OCEMA (VISA)";"ASIA AND PACIFIC"
"9 - JCB";"4 - REGION OCEMA (VISA)";"EUROPE, MIDDLE EAST & AFRICA (EXC. SEPA)"
"2 - MASTERCARD";F;"SUDESTE ASIA/ORIENTE PROX./AFRICA"
"1 - VISA";F;"AMERICA LATINA/CARIBE"
"0 - SIN ASIGNAR";7;"EUROPAY INTERNACIONAL"
"0 - SIN ASIGNAR";8;"EUROPEAN ECONOMIC AREA (NO EU)"
"2 - MASTERCARD";B;"AMERICA LATINA Y CARIBE"
"1 - VISA";B;"EUROPA ESTE,ORIENTE PROXIMO,AFRIC"
"2 - MASTERCARD";C;ASIA/PACIFICO
"1 - VISA";C;CANADA
"9 - JCB";1;"NORTH & SOUTH AMERICA"
"2 - MASTERCARD";1;"ESTADOS UNIDOS"
"1 - VISA";1;"ESTADOS UNIDOS"
"0 - SIN ASIGNAR";1;"UNITED STATES OF AMERICAN"
"2 - MASTERCARD";D;EUROPA
